,GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,state_full,PFAF_ID,AQID
0,AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,,Velayat,Province,,AF.BD,"Badakhshan, Afghanistan","[456604, 456606, 456607, 456608, 456609, 456706, 461782, 461920, 461950, 461961, 461962, 461963, 461965, 461966, 461967, 461968, 461969, 461970, 461990, 482980]","[1094, 1418, 1475, 1541]"
1,AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,,Velayat,Province,,AF.BG,"Badghis, Afghanistan","[281066, 281068, 281069, 281097, 461724]","[1094, 1492, 1531]"
2,AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,,Velayat,Province,,AF.BL,"Baghlan, Afghanistan","[456604, 461740, 461760, 461776, 461782, 461783, 461784, 461785, 461786, 461787, 461788, 461789]","[1094, 1492, 1531]"
3,AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,,Velayat,Province,,AF.BK,"Balkh, Afghanistan","[461728, 461740, 461750, 461760, 461771, 461772, 461773, 461775, 461776, 461777]","[1492, 1531]"
4,AFG,Afghanistan,AFG.5_1,Bamyan,,,Velayat,Province,,AF.BM,"Bamyan, Afghanistan","[281098, 281099, 291468, 291469, 456604, 461740, 461760, 461787, 461788, 461789]","[1094, 1531]"
5,AFG,Afghanistan,AFG.6_1,Daykundi,,,Velayat,Province,,AF.DK,"Daykundi, Afghanistan","[281097, 281099, 291462, 291464, 291466, 291467, 291468, 291469]","[1094, 1619]"
6,AFG,Afghanistan,AFG.7_1,Farah,,,Velayat,Province,,AF.FH,"Farah, Afghanistan","[291410, 291420, 291430, 291449, 291462, 291466, 291701, 291702, 291703, 291704, 291705, 291706, 291707, 291708, 291709, 291800, 291902]",[1094]
7,AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,,Velayat,Province,,AF.FB,"Faryab, Afghanistan","[281069, 461308, 461720, 461721, 461722, 461723, 461724, 461725, 461726, 461729]","[1094, 1492, 1531]"
8,AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,,Velayat,Province,,AF.GZ,"Ghazni, Afghanistan","[291400, 291464, 291469, 291480, 291492, 291496, 291497, 291498, 291499, 456604]",[1094]
9,AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,,Velayat,Province,,AF.GR,"Ghor, Afghanistan","[281069, 281096, 281097, 281098, 281099, 291449, 291462, 291466, 291468, 291469, 291702, 291707, 291708, 291709, 461729, 461740]","[1094, 1531, 1619]"
10,AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,,Velayat,Province,,AF.HM,"Hilmand, Afghanistan","[291122, 291201, 291300, 291440, 291444, 291448, 291449, 291450, 291461, 291462, 291463, 291466, 291470, 291501, 291502, 291503]","[1094, 1619]"
